id,question,reponse_correcte
1,"Situé entre Chine et Pakistan, son ascension est réputée comme l’une des plus exigeantes au monde. Il culmine à 8611m d’altitude ce qui fait de lui après l’Everest le deuxième plus haut sommet du globe.",Le K2.
2,"Long de 6671 km, il traverse 8 pays différents et est l’un des plus long fleuves du monde. Sa source, le lac Victoria, n’a été découverte qu’au milieu du 19e siècle par Richard Burton et John Speke. Il se jette dans la mer Méditerranée au nord du Caire.",Le Nil.
3,"J’ai traduit une chanson française en espagnol, retrouvez-la chanson française : Y yo que hasta ayer sólo fui un holgazán. Y soy el guardián de sus sueños de amor. La quiero a morir",Je l’aime à mourir de Francis Cabrel
4,"Champion du monde en 2018 et retraité international après 137 sélections, j’ai longtemps été le maître à jouer et le pilier offensif des Bleus. Connu pour mon volume de jeu incroyable, ma fidélité à l'Atlético de Madrid et mes célébrations de buts originales. Mon surnom est Grizou",Griezmann
5,"Publié en 1862 par l'un des plus grands écrivains français en exil, ce roman  en cinq parties dresse le portrait de la misère sociale au XIXe siècle. Traversant l'histoire de France de la bataille de Waterloo aux insurrections de 1832. Il met en scène la rédemption d'un ancien bagnard traqué par l'implacable inspecteur Javert",Les Misérables
6,"trouvez la musique : Emmène-moi en voyage, j'aimerais y aller un jour. Emmène-moi à New York, j'adorerais voir LA. J'ai vraiment envie de venir passer du temps avec toi. Tu seras mon mec américain",American Boy
7,"Champion de l'agilité, je passe la majeure partie de ma vie dans la canopée des arbres, utilisant parfois ma queue comme une cinquième main. Connu pour mon intelligence, mon sens de la famille et mes grimaces expressives. Je partage une immense partie de mon ADN avec les humains, mes lointains cousins",Singe
8,"Née au Japon sur Game Boy, je suis la franchise de divertissement la plus rentable de l'histoire. Mon univers tourne autour de créatures fantastiques que les dresseurs capturent dans des sphère pour remplir leur Pokédex. Mon slogan culte est 'Attrapez-les tous !",Pokemon
9,"Production japonaise du milieu des années 2000, je suis considérée comme l'un des plus grands pièges et traumatismes d'Internet. Souvent utilisée pour piéger les spectateurs novices d'animés sous couvert d'une fausse recommandation innocente. Mon simple titre suffit à faire frissonner les internautes.",Boku no pico
10,"On m'ouvre en deux sur un lit pour me remplir, on s'assoit parfois sur moi pour réussir à me fermer. On me frotte contre le sol sur mes quatre roulettes et on me tire par la poignée dans tous les terminaux d'aéroport. Enrico m’a tellment cassé le cul qu’il en est traumatisé",Une valise
11,"Deployé fin 2022, mon architecture repose sur l'attention. Je ne pense pas, je ne comprends rien, mais je suis très bon avec la probabilité. Mes successeurs vont tous vous remplacer ici.",Chat gpt 3
12,"Je suis Personne. Cet adjectif est devenu mon salut face au fils de Poséidon. Qualifié par Homère d'homme 'aux mille tours', j'ai refusé l'immortalité d'une nymphe pour retrouver la fumée de mon foyer à Ithaque et les bras de celle qui m'attendait en tissant.",Ulysse
13,"Musique traduit : Dans le pays natal vit une jeune fille. Et elle se nomme Erika. Cette jeune fille est ma fidèle petite chérie. Et mon bonheur, Erika",Erika
14,"Manga culte des années 90, mon personnage principal est un extraterrestre envoyé sur Terre qui porte en réalité un nom de légume. Ma technique la plus légendaire est entrée dans la culture pop, pourtant ce n'est pas le héros qui l'a créée... mais une tortue cool !",Goku
15,"Actionnaire principal d'une chaîne de fast-food halal, je suis fou de sport et rempli d'énergie. Je suis un Asiatique dans la vingtaine. Mon super-pouvoir ? Je ne manque jamais une occasion de répondre à côté",Enrico
